File,File_gb,Title,Genre,TMDB ID,Year,Length,TMDB Link,Description,Rating,Toloka Link,Rutracker Link,Poster,Trailer
Goodbye Again (1961).mkv,2.2,Goodbye Again,"['Drama', 'Romance']",84119,1961,120,https://www.themoviedb.org/movie/84119,"Middle-aged businesswoman Paula Tessier rejects the advances of her client's amusing 25-year-old son, Philip Van der Besh, but reconsiders when her longtime philandering partner begins yet another casual affair with a younger woman. She soon learns that May-December romances with older women are frowned upon in society.",7.071,https://toloka.to/tracker.php?nm=Goodbye Again,https://rutracker.org/forum/tracker.php?nm=Goodbye Again,https://image.tmdb.org/t/p/w200/gyv7fK6FfAvEk1qamb1LwvE19q8.jpg,https://www.youtube.com/watch?v=xVKLwOXYRNg
G:/Movies\1900x\Carnal Knowledge (1971).mkv,3.0,Carnal Knowledge,"['Drama', 'Romance']",36492,1971,98,https://www.themoviedb.org/movie/36492,"The concurrent sexual lives of best friends Jonathan and Sandy are presented, those lives which are affected by the sexual mores of the time and their own temperament, especially in relation to the respective women who end up in their lives.",6.631,https://toloka.to/tracker.php?nm=Carnal Knowledge,https://rutracker.org/forum/tracker.php?nm=Carnal Knowledge,https://image.tmdb.org/t/p/w200/tIsHljTJiEjEuweNXF3wOE1NSzM.jpg,https://www.youtube.com/watch?v=a5VZBmMVJw8
The Godfather (1972).mkv,8.85,The Godfather,"['Drama', 'Crime']",238,1972,175,https://www.themoviedb.org/movie/238,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.691,https://toloka.to/tracker.php?nm=The Godfather,https://rutracker.org/forum/tracker.php?nm=The Godfather,https://image.tmdb.org/t/p/w200/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://www.youtube.com/watch?v=Ew9ngL1GZvs
The Godfather Part Ii (1974).mkv,8.98,The Godfather Part II,"['Drama', 'Crime']",240,1974,202,https://www.themoviedb.org/movie/240,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",8.575,https://toloka.to/tracker.php?nm=The Godfather Part II,https://rutracker.org/forum/tracker.php?nm=The Godfather Part II,https://image.tmdb.org/t/p/w200/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://www.youtube.com/watch?v=7pfqivkYUlE
G:/Movies\1900x\Taxi Driver (1976).mkv,7.31,Taxi Driver,"['Crime', 'Drama']",103,1976,114,https://www.themoviedb.org/movie/103,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,8.149,https://toloka.to/tracker.php?nm=Taxi Driver,https://rutracker.org/forum/tracker.php?nm=Taxi Driver,https://image.tmdb.org/t/p/w200/ekstpH614fwDX8DUln1a2Opz0N8.jpg,https://www.youtube.com/watch?v=zdqCqDSTVNI
Amadeus (1984).mkv,3.21,Amadeus,"['History', 'Music', 'Drama']",279,1984,160,https://www.themoviedb.org/movie/279,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",8.039,https://toloka.to/tracker.php?nm=Amadeus,https://rutracker.org/forum/tracker.php?nm=Amadeus,https://image.tmdb.org/t/p/w200/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,https://www.youtube.com/watch?v=_R4fbdzzXok
G:/Movies\1900x\Midnight Run (1988).avi,2.47,Midnight Run,"['Action', 'Comedy', 'Crime']",9013,1988,126,https://www.themoviedb.org/movie/9013,"A bounty hunter pursues a former Mafia accountant who embezzled $15 million of mob money. He is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",7.207,https://toloka.to/tracker.php?nm=Midnight Run,https://rutracker.org/forum/tracker.php?nm=Midnight Run,https://image.tmdb.org/t/p/w200/jN12RYBxWSoK6bfuD5GMjNBTdQG.jpg,https://www.youtube.com/watch?v=Geo_tNuNgD8
The Godfather Part Iii (1990).mkv,8.8,The Godfather Part III,"['Crime', 'Drama', 'Thriller']",242,1990,162,https://www.themoviedb.org/movie/242,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",7.421,https://toloka.to/tracker.php?nm=The Godfather Part III,https://rutracker.org/forum/tracker.php?nm=The Godfather Part III,https://image.tmdb.org/t/p/w200/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,https://www.youtube.com/watch?v=z8h3LVb8cl8
G:/Movies\1900x\Baraka (1992).mkv,4.37,Baraka,['Documentary'],14002,1992,97,https://www.themoviedb.org/movie/14002,A paralysingly beautiful documentary with a global vision—an odyssey through landscape and time—that attempts to capture the essence of life.,8.227,https://toloka.to/tracker.php?nm=Baraka,https://rutracker.org/forum/tracker.php?nm=Baraka,https://image.tmdb.org/t/p/w200/ldEuJQ4z7zEvL7iXraESWBUfQcz.jpg,https://www.youtube.com/watch?v=ZSfFHxyYJJA
G:/Movies\1900x\Six Degrees Of Separation (1993).mkv,1.71,Six Degrees of Separation,"['Mystery', 'Drama', 'Comedy']",23210,1993,112,https://www.themoviedb.org/movie/23210,"The story of a young, gay, black, con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.",6.413,https://toloka.to/tracker.php?nm=Six Degrees of Separation,https://rutracker.org/forum/tracker.php?nm=Six Degrees of Separation,https://image.tmdb.org/t/p/w200/c7dzWH8ri9YIVjfHKzCY6wZtvAN.jpg,https://www.youtube.com/watch?v=IBO1Sr14eQQ
